home_ownership;last_pymnt_d
MORTGAGE;01-01-2008
MORTGAGE;01-01-2009
MORTGAGE;01-01-2010
MORTGAGE;01-01-2011
MORTGAGE;01-01-2012
MORTGAGE;01-01-2013
MORTGAGE;01-02-2009
MORTGAGE;01-02-2010
MORTGAGE;01-02-2011
MORTGAGE;01-02-2012
MORTGAGE;01-02-2013
MORTGAGE;01-03-2008
MORTGAGE;01-03-2009
MORTGAGE;01-03-2010
MORTGAGE;01-03-2011
MORTGAGE;01-03-2012
MORTGAGE;01-03-2014
MORTGAGE;01-04-2008
MORTGAGE;01-04-2009
MORTGAGE;01-04-2010
MORTGAGE;01-04-2011
MORTGAGE;01-04-2012
MORTGAGE;01-05-2008
MORTGAGE;01-05-2009
MORTGAGE;01-05-2010
MORTGAGE;01-05-2011
MORTGAGE;01-06-2008
MORTGAGE;01-06-2009
MORTGAGE;01-06-2010
MORTGAGE;01-06-2011
MORTGAGE;01-07-2008
MORTGAGE;01-07-2009
MORTGAGE;01-07-2010
MORTGAGE;01-07-2011
MORTGAGE;01-07-2012
MORTGAGE;01-08-2008
MORTGAGE;01-08-2009
MORTGAGE;01-08-2010
MORTGAGE;01-08-2011
MORTGAGE;01-09-2008
MORTGAGE;01-09-2009
MORTGAGE;01-09-2010
MORTGAGE;01-09-2011
MORTGAGE;01-09-2012
MORTGAGE;01-10-2008
MORTGAGE;01-10-2009
MORTGAGE;01-10-2010
MORTGAGE;01-10-2011
MORTGAGE;01-10-2012
MORTGAGE;01-11-2008
MORTGAGE;01-11-2009
MORTGAGE;01-11-2010
MORTGAGE;01-11-2011
MORTGAGE;01-12-2008
MORTGAGE;01-12-2009
MORTGAGE;01-12-2010
MORTGAGE;01-12-2011
NONE;01-02-2011
NONE;01-09-2010
OTHER;01-01-2009
OTHER;01-02-2009
OTHER;01-02-2010
OTHER;01-03-2011
OTHER;01-04-2011
OTHER;01-05-2010
OTHER;01-05-2011
OTHER;01-06-2010
OTHER;01-06-2011
OTHER;01-08-2010
OTHER;01-08-2011
OTHER;01-11-2010
OTHER;01-11-2011
OTHER;01-12-2009
OTHER;01-12-2011
OWN;01-01-2008
OWN;01-01-2009
OWN;01-01-2011
OWN;01-02-2009
OWN;01-02-2010
OWN;01-02-2011
OWN;01-03-2009
OWN;01-03-2010
OWN;01-03-2011
OWN;01-03-2012
OWN;01-03-2013
OWN;01-04-2008
OWN;01-04-2009
OWN;01-04-2011
OWN;01-05-2008
OWN;01-05-2009
OWN;01-05-2010
OWN;01-05-2011
OWN;01-06-2008
OWN;01-06-2009
OWN;01-06-2010
OWN;01-06-2011
OWN;01-07-2009
OWN;01-07-2010
OWN;01-08-2008
OWN;01-08-2009
OWN;01-08-2010
OWN;01-08-2011
OWN;01-09-2009
OWN;01-09-2010
OWN;01-09-2011
OWN;01-10-2008
OWN;01-10-2009
OWN;01-10-2010
OWN;01-11-2008
OWN;01-11-2009
OWN;01-11-2010
OWN;01-11-2011
OWN;01-12-2008
OWN;01-12-2009
OWN;01-12-2010
OWN;01-12-2011
RENT;01-01-2009
RENT;01-01-2010
RENT;01-01-2011
RENT;01-01-2012
RENT;01-02-2008
RENT;01-02-2009
RENT;01-02-2010
RENT;01-02-2011
RENT;01-02-2012
RENT;01-02-2013
RENT;01-03-2008
RENT;01-03-2009
RENT;01-03-2010
RENT;01-03-2011
RENT;01-03-2012
RENT;01-04-2008
RENT;01-04-2009
RENT;01-04-2010
RENT;01-04-2011
RENT;01-04-2012
RENT;01-05-2008
RENT;01-05-2009
RENT;01-05-2010
RENT;01-05-2011
RENT;01-06-2008
RENT;01-06-2009
RENT;01-06-2010
RENT;01-06-2011
RENT;01-07-2008
RENT;01-07-2009
RENT;01-07-2010
RENT;01-07-2011
RENT;01-08-2008
RENT;01-08-2009
RENT;01-08-2010
RENT;01-08-2011
RENT;01-08-2012
RENT;01-08-2013
RENT;01-08-2014
RENT;01-09-2008
RENT;01-09-2009
RENT;01-09-2010
RENT;01-09-2011
RENT;01-09-2012
RENT;01-10-2008
RENT;01-10-2009
RENT;01-10-2010
RENT;01-10-2011
RENT;01-10-2012
RENT;01-11-2008
RENT;01-11-2009
RENT;01-11-2010
RENT;01-11-2011
RENT;01-11-2012
RENT;01-12-2008
RENT;01-12-2009
RENT;01-12-2010
RENT;01-12-2011
